pc_elapsed_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
4.520142059999998310e+02,4.582010000000000000e+05,2.103000000000000203e+00,1.911999999999999922e+00,-5.030000000000000249e+00,-5.700000000000000000e+02,-9.120000000000000329e-01,-3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.370000000000000107e+00,-4.790000000000000000e+02,-4.790000000000000000e+02,-3.600000000000000000e+02,0.000000000000000000e+00,3.970000000000000195e-01,-1.785000000000000142e+01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.800000000000000488e-02,1.000000000000000000e+00,1.039999999999999952e-01,1.100000000000000000e+01,8.214000000000000000e+03
4.520316076999988582e+02,4.582210000000000000e+05,1.921000000000000041e+00,1.701000000000000068e+00,-8.949999999999999289e+00,-4.380000000000000000e+02,-7.009999999999999565e-01,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.229999999999999982e+00,-5.010000000000000000e+02,-5.010000000000000000e+02,-3.940000000000000000e+02,0.000000000000000000e+00,3.990000000000000213e-01,-2.650000000000000000e+01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.700000000000000122e-02,1.000000000000000000e+00,8.699999999999999400e-02,1.200000000000000000e+01,8.214000000000000000e+03
4.520503738999996131e+02,4.582410000000000000e+05,1.780000000000000027e+00,1.510000000000000009e+00,-8.949999999999999289e+00,-3.190000000000000000e+02,-5.100000000000000089e-01,-1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.439999999999999947e+00,-5.050000000000000000e+02,-5.050000000000000000e+02,-4.220000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.999999999999999889e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+01,8.210000000000000000e+03
4.520698931999995693e+02,4.582610000000000000e+05,1.586999999999999966e+00,1.445999999999999952e+00,-8.949999999999999289e+00,-2.790000000000000000e+02,-4.460000000000000075e-01,6.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.370000000000000107e+00,-5.000000000000000000e+02,-5.000000000000000000e+02,-4.180000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.700000000000000011e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+01,8.210000000000000000e+03
4.521333501999997679e+02,4.583010000000000000e+05,1.124000000000000110e+00,1.495999999999999996e+00,-9.019999999999999574e+00,-3.100000000000000000e+02,-4.959999999999999964e-01,4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.399999999999999467e-01,-5.980000000000000000e+02,-5.980000000000000000e+02,-3.640000000000000000e+02,0.000000000000000000e+00,3.960000000000000187e-01,-1.723000000000000043e+01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.100000000000000172e-02,1.500000000000000000e+01,8.214000000000000000e+03
4.521347980999998981e+02,4.583210000000000000e+05,9.230000000000000426e-01,1.516999999999999904e+00,-8.880000000000000782e+00,-3.230000000000000000e+02,-5.170000000000000151e-01,5.520000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.399999999999999911e-01,-5.640000000000000000e+02,-5.640000000000000000e+02,-3.530000000000000000e+02,0.000000000000000000e+00,3.910000000000000142e-01,-2.405000000000000071e+01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.999999999999999889e-02,1.000000000000000000e+00,3.899999999999999994e-02,1.600000000000000000e+01,8.214000000000000000e+03
4.521565329000004567e+02,4.583410000000000000e+05,7.550000000000000044e-01,1.540999999999999925e+00,-4.679999999999999716e+00,-3.380000000000000000e+02,-5.410000000000000364e-01,5.850000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.700000000000000400e-01,-5.170000000000000000e+02,-5.170000000000000000e+02,-3.530000000000000000e+02,0.000000000000000000e+00,3.940000000000000169e-01,-1.071000000000000085e+01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.100000000000000255e-02,1.000000000000000000e+00,4.700000000000000011e-02,1.400000000000000000e+01,8.214000000000000000e+03
4.521713486999997258e+02,4.583610000000000000e+05,5.989999999999999769e-01,1.554000000000000048e+00,-3.910000000000000142e+00,-3.460000000000000000e+02,-5.540000000000000480e-01,6.900000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.600000000000000311e-01,-5.830000000000000000e+02,-5.830000000000000000e+02,-3.660000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.599999999999999881e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+01,8.210000000000000000e+03
4.522294356000002153e+02,4.584010000000000000e+05,4.299999999999999933e-01,1.703999999999999959e+00,-1.300000000000000044e-01,-4.400000000000000000e+02,-7.039999999999999591e-01,8.260000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.010000000000000009e+00,-6.020000000000000000e+02,-6.020000000000000000e+02,-3.750000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.999999999999999889e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+01,8.210000000000000000e+03
4.522361645000000863e+02,4.584210000000000000e+05,4.319999999999999951e-01,1.651000000000000023e+00,1.610000000000000098e+00,-4.070000000000000000e+02,-6.510000000000000231e-01,7.610000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.899999999999999689e-01,-5.810000000000000000e+02,-5.810000000000000000e+02,-4.190000000000000000e+02,0.000000000000000000e+00,4.010000000000000231e-01,5.900000000000000355e+00,-6.018999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.599999999999999881e-02,1.000000000000000000e+00,5.399999999999999939e-02,1.500000000000000000e+01,8.214000000000000000e+03
