pc_elapsed_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
4.370140059000004840e+02,4.432010000000000000e+05,1.014000000000000012e+00,1.709000000000000075e+00,4.620000000000000107e+00,-4.430000000000000000e+02,-7.089999999999999636e-01,3.680000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.080000000000000071e+00,-6.640000000000000000e+02,-6.640000000000000000e+02,-4.450000000000000000e+02,0.000000000000000000e+00,2.879999999999999782e-01,-1.034999999999999964e+01,-5.532000000000000250e-01,0.000000000000000000e+00,0.000000000000000000e+00,-8.999999999999999320e-03,1.000000000000000000e+00,2.369999999999999885e-01,6.000000000000000000e+00,8.214000000000000000e+03
4.370373664999988250e+02,4.432210000000000000e+05,1.104999999999999982e+00,1.828999999999999959e+00,4.410000000000000142e+00,-5.180000000000000000e+02,-8.289999999999999591e-01,3.950000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.100000000000000006e-01,-6.050000000000000000e+02,-6.050000000000000000e+02,-4.150000000000000000e+02,0.000000000000000000e+00,2.949999999999999845e-01,-1.113000000000000078e+01,-5.863000000000000433e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.999999999999999889e-02,1.000000000000000000e+00,2.159999999999999976e-01,5.000000000000000000e+00,8.214000000000000000e+03
4.370519831999990856e+02,4.432410000000000000e+05,1.211000000000000076e+00,1.560000000000000053e+00,4.129999999999999893e+00,-3.500000000000000000e+02,-5.600000000000000533e-01,1.510000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.500000000000000000e-01,-5.960000000000000000e+02,-5.960000000000000000e+02,-4.960000000000000000e+02,0.000000000000000000e+00,2.889999999999999791e-01,-1.767999999999999972e+01,-9.697999999999999954e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.370000000000000107e-01,1.000000000000000000e+00,2.540000000000000036e-01,3.000000000000000000e+00,8.214000000000000000e+03
4.370707837999998446e+02,4.432610000000000000e+05,1.280999999999999917e+00,1.657999999999999918e+00,3.009999999999999787e+00,-4.110000000000000000e+02,-6.580000000000000293e-01,1.890000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.700000000000000122e-01,-6.160000000000000000e+02,-6.160000000000000000e+02,-4.620000000000000000e+02,0.000000000000000000e+00,3.240000000000000102e-01,-2.770000000000000018e+00,-1.705000000000000127e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.100000000000000130e-02,1.000000000000000000e+00,2.419999999999999929e-01,1.000000000000000000e+00,8.214000000000000000e+03
4.371295871999991505e+02,4.433010000000000000e+05,1.397999999999999909e+00,1.534000000000000030e+00,-1.300000000000000044e-01,-3.340000000000000000e+02,-5.340000000000000302e-01,9.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.600000000000000200e-01,-5.870000000000000000e+02,-5.870000000000000000e+02,-4.710000000000000000e+02,0.000000000000000000e+00,3.130000000000000004e-01,-2.600000000000000089e-01,1.673999999999999932e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.700000000000000122e-02,1.000000000000000000e+00,2.489999999999999991e-01,1.900000000000000000e+01,8.214000000000000000e+03
4.371339564999998402e+02,4.433210000000000000e+05,1.421000000000000041e+00,1.493999999999999995e+00,-1.179999999999999938e+00,-3.090000000000000000e+02,-4.939999999999999947e-01,7.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.159999999999999920e+00,-5.530000000000000000e+02,-5.530000000000000000e+02,-4.640000000000000000e+02,0.000000000000000000e+00,3.099999999999999978e-01,-6.400000000000000355e+00,-3.230999999999999983e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.700000000000000011e-02,1.000000000000000000e+00,2.340000000000000135e-01,1.600000000000000000e+01,8.214000000000000000e+03
4.371506916999987880e+02,4.433410000000000000e+05,1.427000000000000046e+00,1.504000000000000004e+00,-1.389999999999999902e+00,-3.150000000000000000e+02,-5.040000000000000036e-01,8.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.090000000000000080e+00,-5.520000000000000000e+02,-5.520000000000000000e+02,-4.410000000000000000e+02,0.000000000000000000e+00,3.170000000000000040e-01,-3.740000000000000213e+00,-1.836000000000000132e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.409999999999999865e-01,1.000000000000000000e+00,2.379999999999999893e-01,1.500000000000000000e+01,8.214000000000000000e+03
4.371683468999999604e+02,4.433610000000000000e+05,1.366999999999999993e+00,1.443000000000000060e+00,-2.370000000000000107e+00,-2.770000000000000000e+02,-4.430000000000000049e-01,9.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.200000000000000067e-01,-5.900000000000000000e+02,-5.900000000000000000e+02,-4.390000000000000000e+02,0.000000000000000000e+00,3.069999999999999951e-01,-6.549999999999999822e+00,-2.617999999999999772e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.700000000000000011e-02,1.000000000000000000e+00,2.740000000000000213e-01,9.000000000000000000e+00,8.214000000000000000e+03
4.372150987999993959e+02,4.434010000000000000e+05,1.247000000000000108e+00,1.516999999999999904e+00,-3.490000000000000213e+00,-3.230000000000000000e+02,-5.170000000000000151e-01,2.370000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.399999999999999911e-01,-6.050000000000000000e+02,-6.050000000000000000e+02,-3.820000000000000000e+02,0.000000000000000000e+00,2.889999999999999791e-01,-1.737000000000000099e+01,-9.200000000000000400e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.299999999999999940e-02,1.000000000000000000e+00,2.369999999999999885e-01,4.000000000000000000e+00,8.214000000000000000e+03
4.372333791999990353e+02,4.434210000000000000e+05,1.187999999999999945e+00,1.538000000000000034e+00,-3.770000000000000018e+00,-3.360000000000000000e+02,-5.380000000000000338e-01,3.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.500000000000000111e-01,-6.110000000000000000e+02,-6.110000000000000000e+02,-3.690000000000000000e+02,0.000000000000000000e+00,2.889999999999999791e-01,-1.737000000000000099e+01,-9.200000000000000400e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.299999999999999940e-02,1.000000000000000000e+00,2.369999999999999885e-01,2.400000000000000000e+01,8.214000000000000000e+03
4.372531172999988485e+02,4.434410000000000000e+05,1.125999999999999890e+00,1.530000000000000027e+00,-2.439999999999999947e+00,-3.310000000000000000e+02,-5.300000000000000266e-01,3.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.699999999999999956e-01,-6.290000000000000000e+02,-6.290000000000000000e+02,-3.640000000000000000e+02,0.000000000000000000e+00,3.140000000000000013e-01,-4.799999999999999822e+00,-2.505000000000000004e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.690000000000000169e-01,1.900000000000000000e+01,8.214000000000000000e+03
4.372745032000002539e+02,4.434610000000000000e+05,1.064000000000000057e+00,1.532999999999999918e+00,-2.160000000000000142e+00,-3.330000000000000000e+02,-5.330000000000000293e-01,3.470000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.899999999999999689e-01,-6.180000000000000000e+02,-6.180000000000000000e+02,-3.660000000000000000e+02,0.000000000000000000e+00,2.829999999999999738e-01,-1.423000000000000043e+01,-6.319000000000000172e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.790000000000000258e-01,1.500000000000000000e+01,8.214000000000000000e+03
4.373319250999993528e+02,4.435010000000000000e+05,9.939999999999999947e-01,1.546999999999999931e+00,2.800000000000000266e-01,-3.420000000000000000e+02,-5.470000000000000417e-01,3.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.099999999999999978e-01,-6.070000000000000000e+02,-6.070000000000000000e+02,-3.690000000000000000e+02,0.000000000000000000e+00,3.079999999999999960e-01,-1.379999999999999893e+00,6.199999999999999956e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.760000000000000231e-01,2.000000000000000000e+00,8.214000000000000000e+03
