pc_elapsed_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
2.000453229999948235e+01,2.619100000000000000e+04,1.491000000000000103e+00,2.274000000000000021e+00,1.400000000000000133e-01,-7.960000000000000000e+02,-1.274000000000000021e+00,5.080000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,-7.400000000000000000e+01,0.000000000000000000e+00,4.490000000000000102e-01,1.950000000000000000e+01,6.140000000000000319e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.920000000000000040e-01,1.000000000000000000e+00,5.969999999999999751e-01,4.000000000000000000e+00,2.200000000000000000e+01
2.002164900000025227e+01,2.621100000000000000e+04,1.514000000000000012e+00,2.254000000000000004e+00,1.189999999999999947e+00,-7.840000000000000000e+02,-1.254000000000000004e+00,4.550000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.600000000000000200e-01,-7.000000000000000000e+01,-7.000000000000000000e+01,-7.100000000000000000e+01,0.000000000000000000e+00,3.079999999999999960e-01,3.490000000000000213e+00,2.288000000000000034e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.099999999999999672e-02,1.000000000000000000e+00,2.590000000000000080e-01,1.000000000000000000e+00,2.200000000000000000e+01
2.004002459999901475e+01,2.623100000000000000e+04,1.548000000000000043e+00,2.229000000000000092e+00,-1.879999999999999893e+00,-7.680000000000000000e+02,-1.229000000000000092e+00,4.800000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.649999999999999911e+00,-4.000000000000000000e+00,-4.000000000000000000e+00,-6.600000000000000000e+01,0.000000000000000000e+00,3.079999999999999960e-01,3.490000000000000213e+00,2.288000000000000034e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.010000000000000120e-01,1.000000000000000000e+00,2.590000000000000080e-01,2.100000000000000000e+01,2.200000000000000000e+01
2.010182179999901564e+01,2.627100000000000000e+04,1.588000000000000078e+00,2.168000000000000149e+00,-1.110000000000000098e+00,-7.300000000000000000e+02,-1.167999999999999927e+00,3.980000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.510000000000000009e+00,2.400000000000000000e+01,2.400000000000000000e+01,-5.900000000000000000e+01,0.000000000000000000e+00,2.999999999999999889e-01,5.450000000000000178e+00,3.997999999999999887e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.400000000000000022e-02,1.000000000000000000e+00,2.660000000000000142e-01,9.000000000000000000e+00,2.200000000000000000e+01
2.010683359999893582e+01,2.629100000000000000e+04,1.588000000000000078e+00,2.133000000000000007e+00,-1.250000000000000000e+00,-7.080000000000000000e+02,-1.133000000000000007e+00,3.820000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.649999999999999911e+00,3.200000000000000000e+01,3.200000000000000000e+01,-5.100000000000000000e+01,0.000000000000000000e+00,2.999999999999999889e-01,5.450000000000000178e+00,3.997999999999999887e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.199999999999999956e-01,1.000000000000000000e+00,2.660000000000000142e-01,2.900000000000000000e+01,2.200000000000000000e+01
2.012287079999987327e+01,2.631100000000000000e+04,1.576000000000000068e+00,2.100999999999999979e+00,-9.699999999999999734e-01,-6.880000000000000000e+02,-1.100999999999999979e+00,3.570000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.580000000000000071e+00,3.800000000000000000e+01,3.800000000000000000e+01,-4.700000000000000000e+01,0.000000000000000000e+00,4.359999999999999987e-01,1.566000000000000014e+01,-8.000000000000000383e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.920000000000000040e-01,1.000000000000000000e+00,6.590000000000000302e-01,1.600000000000000000e+01,2.200000000000000000e+01
2.014586439999948198e+01,2.633100000000000000e+04,1.548000000000000043e+00,2.060999999999999943e+00,-1.530000000000000027e+00,-6.630000000000000000e+02,-1.060999999999999943e+00,3.560000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.800000000000000044e-01,-3.000000000000000000e+00,-3.000000000000000000e+00,-4.000000000000000000e+01,0.000000000000000000e+00,2.899999999999999800e-01,-2.899999999999999800e-01,1.675999999999999990e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.999999999999999778e-02,1.000000000000000000e+00,2.220000000000000029e-01,1.700000000000000000e+01,2.200000000000000000e+01
2.018603970000003756e+01,2.637100000000000000e+04,1.437000000000000055e+00,1.997000000000000108e+00,-2.859999999999999876e+00,-6.230000000000000000e+02,-9.969999999999999973e-01,4.100000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.200000000000000067e-01,-1.900000000000000000e+01,-1.900000000000000000e+01,-3.100000000000000000e+01,0.000000000000000000e+00,4.319999999999999951e-01,1.603000000000000114e+01,4.209999999999999853e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.799999999999999906e-02,1.000000000000000000e+00,7.299999999999999822e-01,2.000000000000000000e+00,2.200000000000000000e+01
2.020829930000036256e+01,2.639100000000000000e+04,1.379000000000000004e+00,1.967999999999999972e+00,-3.629999999999999893e+00,-6.050000000000000000e+02,-9.679999999999999716e-01,4.450000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.970000000000000195e+00,-1.720000000000000000e+02,-1.720000000000000000e+02,-2.500000000000000000e+01,0.000000000000000000e+00,2.859999999999999765e-01,-3.180000000000000160e+00,-1.353999999999999926e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.409999999999999865e-01,1.000000000000000000e+00,2.000000000000000111e-01,5.000000000000000000e+00,2.200000000000000000e+01
2.022329969999918831e+01,2.641100000000000000e+04,1.366999999999999993e+00,1.941999999999999948e+00,7.280000000000000249e+00,-5.890000000000000000e+02,-9.419999999999999485e-01,2.630000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,-4.200000000000000000e+01,-4.200000000000000000e+01,-2.300000000000000000e+01,0.000000000000000000e+00,2.800000000000000266e-01,-4.849999999999999645e+00,-2.315000000000000113e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.650000000000000133e-01,1.000000000000000000e+00,2.059999999999999887e-01,5.000000000000000000e+00,2.200000000000000000e+01
