pc_elapsed_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
3.000046416000004683e+02,3.061910000000000000e+05,8.229999999999999538e-01,-4.939999999999999947e-01,1.000000000000000021e-02,9.340000000000000000e+02,1.493999999999999995e+00,-8.600000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.020000000000000018e+00,2.370000000000000000e+02,2.370000000000000000e+02,1.270000000000000000e+02,0.000000000000000000e+00,2.780000000000000249e-01,-2.128000000000000114e+01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000117e-02,1.000000000000000000e+00,1.829999999999999960e-01,1.500000000000000000e+01,2.200000000000000000e+01
3.000230799999990268e+02,3.062110000000000000e+05,8.499999999999999778e-01,-5.070000000000000062e-01,3.779999999999999805e+00,9.420000000000000000e+02,1.506999999999999895e+00,-9.610000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.300000000000000266e-01,2.240000000000000000e+02,2.240000000000000000e+02,1.270000000000000000e+02,0.000000000000000000e+00,2.570000000000000062e-01,-2.925000000000000000e+01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.690000000000000169e-01,1.000000000000000000e+00,1.940000000000000058e-01,1.400000000000000000e+01,2.200000000000000000e+01
3.000404221999997390e+02,3.062310000000000000e+05,8.509999999999999787e-01,-5.230000000000000204e-01,-1.250000000000000000e+00,9.520000000000000000e+02,1.522999999999999909e+00,-8.620000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.799999999999999933e-01,2.030000000000000000e+02,2.030000000000000000e+02,1.270000000000000000e+02,0.000000000000000000e+00,2.580000000000000071e-01,-2.685999999999999943e+01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.999999999999999667e-02,1.000000000000000000e+00,2.069999999999999896e-01,1.100000000000000000e+01,2.200000000000000000e+01
3.000585169999994832e+02,3.062510000000000000e+05,8.619999999999999885e-01,-5.490000000000000435e-01,1.000000000000000021e-02,9.680000000000000000e+02,1.548999999999999932e+00,-9.220000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.600000000000000311e-01,1.590000000000000000e+02,1.590000000000000000e+02,1.290000000000000000e+02,0.000000000000000000e+00,2.620000000000000107e-01,-2.339999999999999858e+01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.100000000000000130e-02,1.000000000000000000e+00,2.049999999999999878e-01,1.200000000000000000e+01,2.200000000000000000e+01
3.001220562999988033e+02,3.062910000000000000e+05,8.589999999999999858e-01,-5.819999999999999618e-01,-1.879999999999999893e+00,9.890000000000000000e+02,1.582000000000000073e+00,-9.120000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.580000000000000071e+00,2.830000000000000000e+02,2.830000000000000000e+02,1.290000000000000000e+02,0.000000000000000000e+00,2.760000000000000231e-01,-2.116000000000000014e+01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.299999999999999656e-02,1.000000000000000000e+00,1.769999999999999907e-01,1.500000000000000000e+01,2.200000000000000000e+01
3.001339632999988680e+02,3.063110000000000000e+05,8.020000000000000462e-01,-6.059999999999999831e-01,5.740000000000000213e+00,1.004000000000000000e+03,1.606000000000000094e+00,-1.019000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.219999999999999973e+00,1.520000000000000000e+02,1.520000000000000000e+02,1.250000000000000000e+02,0.000000000000000000e+00,2.999999999999999889e-01,-8.369999999999999218e+00,-5.059000000000000163e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999999999729e-01,1.000000000000000000e+00,1.739999999999999880e-01,1.600000000000000000e+01,2.200000000000000000e+01
3.001441319999994448e+02,3.063310000000000000e+05,7.399999999999999911e-01,-6.290000000000000036e-01,-3.209999999999999964e+00,1.018000000000000000e+03,1.629000000000000004e+00,-8.200000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.219999999999999973e+00,1.380000000000000000e+02,1.380000000000000000e+02,1.270000000000000000e+02,0.000000000000000000e+00,2.570000000000000062e-01,-2.400000000000000000e+01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.029999999999999943e-01,1.000000000000000000e+00,1.859999999999999987e-01,1.400000000000000000e+01,2.200000000000000000e+01
3.001642892999989272e+02,3.063510000000000000e+05,7.179999999999999716e-01,-6.450000000000000178e-01,-1.949999999999999956e+00,1.028000000000000000e+03,1.645000000000000018e+00,-8.530000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.549999999999999822e+00,5.400000000000000000e+01,5.400000000000000000e+01,1.310000000000000000e+02,0.000000000000000000e+00,3.019999999999999907e-01,-9.679999999999999716e+00,-6.535999999999999588e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.449999999999999900e-01,1.000000000000000000e+00,1.350000000000000089e-01,1.800000000000000000e+01,2.200000000000000000e+01
3.002095503000000463e+02,3.063910000000000000e+05,6.099999999999999867e-01,-6.540000000000000258e-01,-2.509999999999999787e+00,1.034000000000000000e+03,1.653999999999999915e+00,-7.810000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.200000000000000178e-01,1.160000000000000000e+02,1.160000000000000000e+02,1.270000000000000000e+02,0.000000000000000000e+00,2.879999999999999782e-01,-1.127999999999999936e+01,-3.372999999999999887e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.000000000000000083e-03,1.000000000000000000e+00,1.239999999999999991e-01,1.900000000000000000e+01,2.200000000000000000e+01
3.002319031999995786e+02,3.064110000000000000e+05,5.510000000000000453e-01,-6.580000000000000293e-01,-4.750000000000000000e+00,1.036000000000000000e+03,1.657999999999999918e+00,-6.930000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.300000000000000044e+00,2.120000000000000000e+02,2.120000000000000000e+02,1.200000000000000000e+02,0.000000000000000000e+00,2.919999999999999818e-01,-7.259999999999999787e+00,-1.203999999999999931e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.799999999999999906e-02,1.000000000000000000e+00,1.059999999999999970e-01,0.000000000000000000e+00,2.200000000000000000e+01
