pc_elapsed_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
4.040270273000005545e+02,4.102110000000000000e+05,1.872000000000000108e+00,2.994000000000000217e+00,-7.549999999999999822e+00,-1.246000000000000000e+03,-1.993999999999999995e+00,8.550000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.080000000000000071e+00,-3.060000000000000000e+02,-3.060000000000000000e+02,-1.670000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.949999999999999845e-01,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.800000000000000000e+01
4.040454028999993170e+02,4.102310000000000000e+05,1.788000000000000034e+00,2.951999999999999957e+00,-4.259999999999999787e+00,-1.220000000000000000e+03,-1.951999999999999957e+00,8.180000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.800000000000000044e-01,-2.120000000000000000e+02,-2.120000000000000000e+02,-1.660000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.700000000000000122e-02,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.800000000000000000e+01
4.040629824999996345e+02,4.102510000000000000e+05,1.719000000000000083e+00,2.906000000000000139e+00,-7.690000000000000391e+00,-1.191000000000000000e+03,-1.905999999999999917e+00,9.160000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.069999999999999840e+00,-1.510000000000000000e+02,-1.510000000000000000e+02,-1.660000000000000000e+02,0.000000000000000000e+00,2.590000000000000080e-01,-2.737999999999999901e+01,6.310000000000000053e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.699999999999999900e-02,1.000000000000000000e+00,6.500000000000000222e-02,2.000000000000000000e+00,2.200000000000000000e+01
4.040836395999995148e+02,4.102710000000000000e+05,1.659000000000000030e+00,2.871999999999999886e+00,-3.839999999999999858e+00,-1.170000000000000000e+03,-1.872000000000000108e+00,8.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.929999999999999938e+00,-1.310000000000000000e+02,-1.310000000000000000e+02,-1.640000000000000000e+02,0.000000000000000000e+00,3.019999999999999907e-01,-2.812999999999999901e+01,-9.542000000000000481e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.199999999999999956e-01,1.000000000000000000e+00,7.399999999999999634e-02,0.000000000000000000e+00,2.200000000000000000e+01
4.041440256999994745e+02,4.103110000000000000e+05,1.491000000000000103e+00,2.821000000000000174e+00,-3.140000000000000124e+00,-1.138000000000000000e+03,-1.820999999999999952e+00,9.160000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.860000000000000098e+00,-1.090000000000000000e+02,-1.090000000000000000e+02,-1.530000000000000000e+02,0.000000000000000000e+00,3.599999999999999867e-01,1.333000000000000007e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.299999999999999940e-02,1.000000000000000000e+00,1.120000000000000023e-01,1.900000000000000000e+01,2.200000000000000000e+01
4.041442671000004339e+02,4.103310000000000000e+05,1.435999999999999943e+00,2.813000000000000167e+00,-3.350000000000000089e+00,-1.133000000000000000e+03,-1.812999999999999945e+00,9.560000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.510000000000000009e+00,-1.210000000000000000e+02,-1.210000000000000000e+02,-1.480000000000000000e+02,0.000000000000000000e+00,3.529999999999999805e-01,-8.830000000000000071e+00,-3.125999999999999890e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.000000000000000083e-03,1.000000000000000000e+00,1.039999999999999952e-01,1.900000000000000000e+01,2.200000000000000000e+01
4.041611124999999447e+02,4.103510000000000000e+05,1.395000000000000018e+00,2.798000000000000043e+00,-1.949999999999999956e+00,-1.124000000000000000e+03,-1.798000000000000043e+00,9.440000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-02,-1.910000000000000000e+02,-1.910000000000000000e+02,-1.410000000000000000e+02,0.000000000000000000e+00,3.689999999999999947e-01,-5.290000000000000036e+00,-2.692999999999999838e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.900000000000000466e-02,0.000000000000000000e+00,2.200000000000000000e+01
4.041800461000002542e+02,4.103710000000000000e+05,1.360000000000000098e+00,2.797000000000000153e+00,-1.250000000000000000e+00,-1.123000000000000000e+03,-1.796999999999999931e+00,9.530000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.149999999999999911e+00,-2.460000000000000000e+02,-2.460000000000000000e+02,-1.350000000000000000e+02,0.000000000000000000e+00,3.689999999999999947e-01,-5.290000000000000036e+00,-2.692999999999999838e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.900000000000000466e-02,2.000000000000000000e+01,2.200000000000000000e+01
4.042303848999999900e+02,4.104110000000000000e+05,1.314999999999999947e+00,2.818000000000000060e+00,-3.400000000000000244e-01,-1.136000000000000000e+03,-1.818000000000000060e+00,9.800000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.399999999999999467e-01,-2.670000000000000000e+02,-2.670000000000000000e+02,-1.330000000000000000e+02,0.000000000000000000e+00,3.430000000000000271e-01,-2.601000000000000156e+01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.089999999999999997e-01,1.900000000000000000e+01,2.200000000000000000e+01
4.042446378000004188e+02,4.104310000000000000e+05,1.312000000000000055e+00,2.821000000000000174e+00,3.499999999999999778e-01,-1.138000000000000000e+03,-1.820999999999999952e+00,9.710000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.000000000000000083e-02,-2.160000000000000000e+02,-2.160000000000000000e+02,-1.360000000000000000e+02,0.000000000000000000e+00,3.750000000000000000e-01,-7.410000000000000142e+00,-8.024000000000000021e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.130000000000000032e-01,1.800000000000000000e+01,2.200000000000000000e+01
