pc_elapsed_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
5.010780299999169074e+00,2.659010000000000000e+05,2.590000000000000080e-01,1.018000000000000016e+00,3.099999999999999978e-01,-2.610000000000000000e+02,-4.179999999999999827e-01,4.890000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.359999999999999876e+00,4.070000000000000000e+02,4.070000000000000000e+02,3.160000000000000000e+02,0.000000000000000000e+00,3.890000000000000124e-01,1.150999999999999979e+01,2.431999999999999995e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.780000000000000249e-01,1.000000000000000000e+00,1.960000000000000075e-01,5.000000000000000000e+00,2.200000000000000000e+01
5.029444299998431234e+00,2.659210000000000000e+05,2.700000000000000178e-01,1.024000000000000021e+00,2.200000000000000178e+00,-2.650000000000000000e+02,-4.239999999999999880e-01,4.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.030000000000000027e+00,4.740000000000000000e+02,4.740000000000000000e+02,3.280000000000000000e+02,0.000000000000000000e+00,3.699999999999999956e-01,6.740000000000000213e+00,2.484000000000000097e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.999999999999999778e-02,1.000000000000000000e+00,2.190000000000000002e-01,5.000000000000000000e+00,2.200000000000000000e+01
5.082978899998124689e+00,2.659610000000000000e+05,3.330000000000000182e-01,1.012999999999999901e+00,1.850000000000000089e+00,-2.580000000000000000e+02,-4.129999999999999782e-01,4.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.699999999999999734e-01,4.930000000000000000e+02,4.930000000000000000e+02,3.520000000000000000e+02,0.000000000000000000e+00,3.729999999999999982e-01,6.059999999999999609e+00,1.829999999999999960e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.400000000000000244e-02,1.000000000000000000e+00,2.179999999999999993e-01,3.000000000000000000e+00,2.200000000000000000e+01
5.099578899997140979e+00,2.659810000000000000e+05,3.739999999999999991e-01,1.098000000000000087e+00,5.899999999999999689e-01,-3.110000000000000000e+02,-4.979999999999999982e-01,4.640000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.800000000000000488e-01,4.820000000000000000e+02,4.820000000000000000e+02,3.320000000000000000e+02,0.000000000000000000e+00,3.649999999999999911e-01,3.620000000000000107e+00,-7.009999999999999565e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.000000000000000083e-03,1.000000000000000000e+00,1.990000000000000102e-01,4.000000000000000000e+00,2.200000000000000000e+01
5.116259700000227895e+00,2.660010000000000000e+05,4.030000000000000249e-01,1.159999999999999920e+00,3.099999999999999978e-01,-3.500000000000000000e+02,-5.600000000000000533e-01,4.870000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.800000000000000488e-01,4.810000000000000000e+02,4.810000000000000000e+02,3.150000000000000000e+02,0.000000000000000000e+00,3.649999999999999911e-01,3.620000000000000107e+00,-7.009999999999999565e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.999999999999999889e-02,1.000000000000000000e+00,1.990000000000000102e-01,2.400000000000000000e+01,2.200000000000000000e+01
5.136003199997503543e+00,2.660210000000000000e+05,4.129999999999999782e-01,1.213999999999999968e+00,-3.200000000000000067e-01,-3.840000000000000000e+02,-6.139999999999999902e-01,5.230000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.199999999999999956e-01,5.020000000000000000e+02,5.020000000000000000e+02,3.020000000000000000e+02,0.000000000000000000e+00,3.770000000000000018e-01,7.580000000000000071e+00,1.887000000000000066e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.620000000000000051e-01,1.000000000000000000e+00,2.610000000000000098e-01,1.800000000000000000e+01,2.200000000000000000e+01
5.172641999997722451e+00,2.660610000000000000e+05,4.219999999999999862e-01,1.221000000000000085e+00,8.000000000000000444e-01,-3.880000000000000000e+02,-6.209999999999999964e-01,5.030000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.599999999999999645e-01,4.630000000000000000e+02,4.630000000000000000e+02,3.120000000000000000e+02,0.000000000000000000e+00,3.669999999999999929e-01,2.799999999999999822e+00,-1.859999999999999848e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.700000000000000122e-02,1.000000000000000000e+00,2.419999999999999929e-01,1.700000000000000000e+01,2.200000000000000000e+01
5.195746699999290286e+00,2.660810000000000000e+05,4.209999999999999853e-01,1.338000000000000078e+00,-4.600000000000000200e-01,-4.610000000000000000e+02,-7.379999999999999893e-01,5.990000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.169999999999999929e+00,4.530000000000000000e+02,4.530000000000000000e+02,2.820000000000000000e+02,0.000000000000000000e+00,3.669999999999999929e-01,1.489999999999999991e+00,-8.759999999999999731e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.000000000000000083e-03,1.000000000000000000e+00,2.359999999999999876e-01,1.500000000000000000e+01,2.200000000000000000e+01
5.217625799999950686e+00,2.661010000000000000e+05,4.500000000000000111e-01,1.324999999999999956e+00,2.999999999999999889e-02,-4.530000000000000000e+02,-7.249999999999999778e-01,5.640000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.659999999999999920e+00,4.290000000000000000e+02,4.290000000000000000e+02,2.920000000000000000e+02,0.000000000000000000e+00,3.689999999999999947e-01,3.290000000000000036e+00,-7.889999999999999791e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.400000000000000244e-02,1.000000000000000000e+00,2.359999999999999876e-01,1.400000000000000000e+01,2.200000000000000000e+01
5.229337999997369479e+00,2.661210000000000000e+05,4.600000000000000200e-01,1.350000000000000089e+00,-9.499999999999999556e-01,-4.690000000000000000e+02,-7.500000000000000000e-01,5.980000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.199999999999999512e-01,4.700000000000000000e+02,4.700000000000000000e+02,2.910000000000000000e+02,0.000000000000000000e+00,3.320000000000000173e-01,-1.194999999999999929e+01,-9.116999999999999549e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.700000000000000122e-02,1.000000000000000000e+00,2.340000000000000135e-01,1.300000000000000000e+01,2.200000000000000000e+01
