pc_elapsed_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
15.0108,31901,1.171,0.773,0.67,-108,-0.173,-272,0,0,0,-0.77,82,82,-49,0,0.264,-13.89,-0.2216,0,0,0.004,1,0.065,17,22
15.03241,31921,1.177,0.618,-0.52,-11,-0.018,-354,0,0,0,-0,45,45,64,0,0.245,-24.23,-0.9232,0,0,0,1,0.152,11,22
15.05459,31941,1.163,0.395,-0.45,128,0.205,-494,0,0,0,-0.49,72,72,107,0,0.273,-13.17,-0.3965,0,0,0,1,0.122,13,22
15.10834,31981,1.063,-0.078,-4.16,424,0.678,-675,0,0,0,-1.12,107,107,109,0,0.466,14.93,-0.0754,0,0,0.013,1,0.698,5,22
15.11153,32001,0.977,-0.227,-7.8,517,0.827,-640,0,0,0,-0.35,75,75,84,0,0.366,19.32,0.6697,0,0,0.021,1,0.659,7,22
15.13042,32021,0.846,-0.338,-9.12,586,0.938,-609,0,0,0,0.49,35,35,-27,0,0.366,19.12,0.6717,0,0,0.073,1,0.657,5,22
15.14782,32041,0.707,-0.296,-6.68,560,0.896,-517,0,0,0,2.66,-83,-83,-53,0,0.355,13.63,0.4622,0,0,0.124,1,0.554,9,22
15.2008,32081,0.176,-0.179,-11.08,487,0.779,-34,0,0,0,0.77,-8,-8,9,0,0.243,-18.97,-0.7412,0,0,0,1,0.153,13,22
15.21027,32101,-0.041,-0.141,-10.8,463,0.741,130,0,0,0,0.84,-11,-11,23,0,0.25,-9.18,0.2693,0,0,-0.004,1,0.11,16,22
15.22874,32121,-0.226,-0.088,-8.01,430,0.688,231,0,0,0,0.35,13,13,26,0,0.244,-21.83,-0.9064,0,0,0,1,0.112,15,22
15.24719,32141,-0.357,-0.107,-4.86,442,0.707,255,0,0,0,-0,28,28,3,0,0.251,-5.23,0.5473,0,0,0.056,1,0.099,15,22
15.30707,32181,-0.525,0.013,-2.83,367,0.587,408,0,0,0,-0.42,47,47,20,0,0.231,-9.69,0.3701,0,0,0.03,1,0.143,12,22
15.31158,32201,-0.508,0.202,2.9,249,0.398,402,0,0,0,1.12,-30,-30,10,0,0.235,-16.59,-0.4708,0,0,0.021,1,0.116,14,22
15.32897,32221,-0.48,0.31,2.62,181,0.29,472,0,0,0,0.42,4,4,-15,0,0.24,-14.56,-0.2437,0,0,0.038,1,0.122,13,22
15.34613,32241,-0.39,0.435,7.1,103,0.165,409,0,0,0,1.47,-43,-43,-26,0,0.248,-5.48,0.4768,0,0,0.111,1,0.151,10,22
15.39075,32281,-0.121,0.842,9.48,-151,-0.242,451,0,0,0,-0.56,60,60,52,0,0.257,-28,-1,0,0,0.004,1,0.054,17,22
15.41061,32301,0.04,0.998,9.34,-249,-0.398,454,0,0,0,0.21,22,22,26,0,0.251,-14.58,-0.5067,0,0,-0.004,1,0.106,13,22
15.42957,32321,0.22,1.171,9.97,-357,-0.571,437,0,0,0,0.21,22,22,32,0,0.273,-2.25,0.5716,0,0,0.004,1,0.107,14,22
15.4518,32341,0.439,1.395,9.55,-497,-0.795,452,0,0,0,0.91,-11,-11,39,0,0.263,-13.81,-0.7354,0,0,0.004,1,0.106,13,22
15.50849,32381,0.93,1.453,12.2,-533,-0.853,122,0,0,0,-0.28,54,54,-16,0,0.27,-9.77,-0.3894,0,0,0.021,1,0.128,13,22
15.51654,32401,1.118,1.39,6.19,-494,-0.79,92,0,0,0,-0.14,48,48,17,0,0.273,-12.57,-0.6026,0,0,0.133,1,0.124,13,22
15.53119,32421,1.394,1.254,10.6,-409,-0.654,-278,0,0,0,-1.75,139,139,28,0,0.257,-23.26,-1,0,0,0.056,1,0.143,11,22
15.55126,32441,1.621,1.232,6.82,-395,-0.632,-366,0,0,0,-1.47,134,134,-6,0,0.333,23.81,1,0,0,0.004,1,0.064,16,22
15.59205,32481,1.899,0.917,2.69,-198,-0.317,-684,0,0,0,-1.61,140,140,52,0,0.29,-17.19,-1,0,0,-0.004,1,0.111,13,22
15.6097,32501,1.969,0.877,0.18,-173,-0.277,-718,0,0,0,-2.1,180,180,-16,0,0.294,-9.18,-0.464,0,0,-0.004,1,0.127,11,22
15.62906,32521,1.95,0.514,-4.16,54,0.086,-855,0,0,0,-1.26,150,150,52,0,0.3,-2.9,0.3338,0,0,0,1,0.103,13,22
15.64731,32541,1.863,0.422,-5.14,111,0.178,-854,0,0,0,-1.26,165,165,110,0,0.278,-17.35,-1,0,0,-0.004,1,0.119,13,22
15.70976,32581,1.477,-0.061,-11.15,413,0.661,-806,0,0,0,-0.7,147,147,49,0,0.282,-20.6,-1,0,0,0,1,0.113,13,22
15.71242,32601,1.219,-0.173,-13.18,483,0.773,-666,0,0,0,-0.42,130,130,36,0,0.283,-15.14,-0.9726,0,0,0,1,0.12,13,22
15.73364,32621,0.916,-0.242,-14.72,526,0.842,-487,0,0,0,0.49,83,83,46,0,0.274,-13.49,-0.9179,0,0,0,1,0.115,13,22
15.75186,32641,0.6,-0.274,-13.74,546,0.874,-322,0,0,0,2.38,-13,-13,66,0,0.285,-13.82,-1,0,0,-0.004,1,0.099,14,22
15.79255,32681,0.013,-0.285,-9.96,553,0.885,-17,0,0,0,1.19,23,23,64,0,0.237,-23.07,-0.8982,0,0,-0.013,1,0.101,15,22
15.81103,32701,-0.253,-0.245,-8.14,528,0.845,147,0,0,0,1.12,27,27,61,0,0.249,-15.19,-0.3935,0,0,-0.021,1,0.078,15,22
15.82887,32721,-0.436,-0.176,-5.21,485,0.776,256,0,0,0,2.8,-64,-64,52,0,0.339,53.78,1,0,0,-0.103,1,0.063,16,22
15.85016,32741,-0.583,-0.11,-5.56,444,0.71,410,0,0,0,0.84,31,31,39,0,0.247,-2.47,1,0,0,-0.051,1,0.088,14,22
15.91059,32781,-0.628,0.203,2.69,248,0.397,493,0,0,0,1.89,-47,-47,32,0,0.24,-17.08,-0.6689,0,0,-0.013,1,0.095,14,22
15.91157,32801,-0.583,0.368,5.7,145,0.232,513,0,0,0,1.19,-32,-32,41,0,0.224,-25.91,-1,0,0,-0.043,1,0.106,14,22
15.93268,32821,-0.45,0.338,9.13,164,0.262,346,0,0,0,1.12,-30,-30,-19,0,0.245,-20.18,-1,0,0,-0.128,1,0.089,14,22
