pc_elapsed_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
660.0181,676901,0.632,0.15,-6.54,281,0.45,-202,0,0,0,0.35,-19,-19,-23,0,0.551,14.31,-0,0,0,0,1,0.638,6,20502
660.0308,676921,0.451,0.184,-7.17,260,0.416,-49,0,0,0,-0.77,38,38,-1,0,0,0,0,0,0,0.205,1,0,18,20498
660.0508,676941,0.331,0.237,-5,227,0.363,21,0,0,0,0.14,-13,-13,13,0,0,0,0,0,0,0.162,1,0,16,20498
660.0699,676961,0.199,0.232,-3.74,230,0.368,91,0,0,0,-0.07,-5,-5,-24,0,0,0,0,0,0,0.038,1,0,16,20498
660.1068,677001,-0.004,0.221,-3.88,237,0.379,216,0,0,0,0.28,-22,-22,27,0,0,0,0,0,0,0.021,1,0,19,20498
660.179,677074,-0.124,0.576,6.68,15,0.024,371,0,0,0,-0.35,13,13,-2,0,0,0,0,0,0,0.081,1,0,11,20498
660.2135,677101,-0.164,0.712,4.02,-70,-0.112,502,0,0,0,-0.49,4,4,0,0,0,0,0,0,0,-0.021,1,0,19,20498
660.2308,677121,0.052,1.115,13.53,-322,-0.515,461,0,0,0,-0.84,39,39,-23,0,0,0,0,0,0,0.013,1,0,14,20498
660.2526,677141,0.134,1.245,13.6,-403,-0.645,470,0,0,0,0.28,-23,-23,-17,0,0,0,0,0,0,0.026,1,0,19,20498
660.2722,677161,0.238,1.299,17.45,-437,-0.699,363,0,0,0,1.12,-77,-77,-27,0,0,0,0,0,0,0.107,1,0,19,20498
660.309,677201,0.766,1.326,20.39,-454,-0.726,-15,0,0,0,-0.42,22,22,16,0,0,0,0,0,0,0,1,0,19,20498
660.3268,677221,0.978,1.323,14.23,-452,-0.723,-35,0,0,0,-0.63,38,38,24,0,0,0,0,0,0,-0.004,1,0,0,20498
660.3459,677241,1.251,1.293,12.13,-433,-0.693,-202,0,0,0,-0.14,15,15,34,0,0,0,0,0,0,-0.004,1,0,20,20498
