pc_elapsed_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
133.0065,292151,0.867,1.016,-4.71,-260,-0.416,174,0,0,0,1.08,-233,-233,-227,0,0.218,-2.13,1,0,0,0.047,1,0.057,7,22
133.0487,292191,1.064,0.928,2,-205,-0.328,-119,0,0,0,-0.03,-172,-172,-224,0,0,0,0,0,0,0,1,0,12,18
133.0682,292211,1.156,0.869,3.82,-168,-0.269,-242,0,0,0,0.11,-168,-168,-179,0,0.207,-31.39,-0.5938,0,0,0.017,1,0.03,9,22
133.0883,292231,1.011,0.744,-2.69,-90,-0.144,-162,0,0,0,-0.59,-130,-130,-172,0,0,0,0,0,0,0.265,1,0,12,18
133.1077,292251,1.117,0.781,-5.13,-113,-0.181,-105,0,0,0,-2.55,-9,-9,-175,0,0,0,0,0,0,0.064,1,0,12,18
133.1634,292291,1.081,0.485,3.05,72,0.115,-438,0,0,0,0.04,-152,-152,-169,0,0,0,0,0,0,-0.038,1,0,12,18
133.1665,292311,0.992,0.331,-0.31,168,0.269,-433,0,0,0,-0.59,-123,-123,-146,0,0,0,0,0,0,-0.021,1,0,12,18
133.191,292331,0.96,0.181,-3.03,262,0.419,-454,0,0,0,0.04,-150,-150,-153,0,0,0,0,0,0,-0.009,1,0,12,18
133.2024,292351,0.886,0.155,-7.23,278,0.445,-342,0,0,0,-0.87,-101,-101,-146,0,0,0,0,0,0,0,1,0,12,18
133.2486,292391,0.727,0.315,-5.06,178,0.285,-170,0,0,0,-0.1,-142,-142,-183,0,0,0,0,0,0,-0.068,1,0,12,18
133.2656,292411,0.646,0.293,-5.83,192,0.307,-121,0,0,0,0.25,-155,-155,-149,0,0,0,0,0,0,-0.111,1,0,12,18
