pc_elapsed_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
65.01235,224161,0.941,1.069,4.38,-293,-0.469,7,0,0,0,0.11,193,193,52,0,0.278,-21.69,-1,0,0,0.03,1,0.191,16,22
65.0612,224201,1.027,0.978,3.68,-236,-0.378,-112,0,0,0,1.22,141,141,106,0,0.287,-16.03,-1,0,0,0.009,1,0.167,18,22
65.07845,224221,1.073,0.808,3.96,-130,-0.208,-266,0,0,0,-0.94,247,247,138,0,0.28,-19.73,-1,0,0,0.145,1,0.179,17,22
65.10384,224241,1.111,0.778,4.1,-111,-0.178,-329,0,0,0,-1.64,281,281,138,0,0.274,-25.77,-1,0,0,0.021,1,0.174,18,22
65.12057,224261,1.1,0.778,1.72,-111,-0.178,-268,0,0,0,-0.17,208,208,149,0,0.281,-22.49,-1,0,0,0.047,1,0.172,17,22
65.1577,224301,1.034,0.589,-2.62,7,0.011,-271,0,0,0,-0.24,219,219,191,0,0.285,-21.7,-1,0,0,-0.004,1,0.156,20,22
65.17785,224321,1.005,0.547,-4.15,33,0.053,-247,0,0,0,0.73,174,174,219,0,0.283,-15.37,-0.8615,0,0,0.026,1,0.158,19,22
65.19452,224341,0.949,0.344,-4.43,160,0.256,-345,0,0,0,-0.1,215,215,233,0,0.267,-28.38,-1,0,0,0.218,1,0.171,17,22
65.21278,224361,0.878,0.365,-4.71,147,0.235,-276,0,0,0,0.25,188,188,254,0,0.263,-28.66,-1,0,0,0.103,1,0.167,19,22
65.27541,224401,0.613,0.4,-6.74,125,0.2,-23,0,0,0,-0.87,237,237,165,0,0.271,-22.45,-1,0,0,0,1,0.118,1,22
65.27917,224421,0.498,0.354,-5.69,154,0.246,10,0,0,0,-0.87,241,241,131,0,0.285,-18.11,-1,0,0,-0.013,1,0.081,4,22
65.29721,224441,0.368,0.429,-5.62,107,0.171,152,0,0,0,-0.24,214,214,148,0,0.27,-23.06,-1,0,0,0.026,1,0.108,2,22
65.31854,224461,0.268,0.534,-4.78,41,0.066,287,0,0,0,-0.1,209,209,175,0,0.269,-23.08,-1,0,0,0.013,1,0.118,1,22
65.36027,224501,0.145,0.512,-1.22,55,0.088,295,0,0,0,1.36,141,141,154,0,0.262,-21.68,-1,0,0,0.162,1,0.144,0,22
65.37926,224521,0.117,0.64,-1.85,-25,-0.04,417,0,0,0,0.18,201,201,188,0,0.265,-18.69,-1,0,0,-0.004,1,0.126,1,22
65.3998,224541,0.212,0.683,5.15,-52,-0.083,236,0,0,0,0.87,165,165,186,0,0.269,-21.38,-1,0,0,0.111,1,0.099,2,22
65.41537,224561,0.303,0.696,3.82,-60,-0.096,216,0,0,0,0.39,189,189,190,0,0.261,-19.75,-1,0,0,0.043,1,0.118,1,22
65.47472,224601,0.514,0.725,5.36,-78,-0.125,52,0,0,0,-0.94,256,256,195,0,0.283,-15.39,-1,0,0,-0.004,1,0.083,3,22
65.48076,224621,0.6,0.891,5.08,-182,-0.291,105,0,0,0,-1.29,276,276,157,0,0.265,-23.68,-1,0,0,-0.004,1,0.099,2,22
65.49978,224641,0.703,0.792,4.66,-120,-0.192,-28,0,0,0,-1.01,264,264,159,0,0.272,-25.87,-1,0,0,0.017,1,0.099,2,22
65.5139,224661,0.814,0.813,4.24,-133,-0.213,-86,0,0,0,-0.17,224,224,145,0,0.284,-12.04,-0.5856,0,0,0.013,1,0.107,2,22
65.55647,224701,0.971,0.752,2.21,-95,-0.152,-203,0,0,0,-0.8,252,252,150,0,0.271,-22.73,-1,0,0,0.056,1,0.126,1,22
