pc_elapsed_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
10.00431,169131,0.286,1.424,-0.1,-515,-0.824,739,0,0,0,1.22,-72,-72,-21,0,0.284,-7.42,-0.3927,0,0,0.009,1,0.178,1,22
10.01406,169151,0.279,1.469,0.53,-543,-0.869,762,0,0,0,0.52,-37,-37,-22,0,0.271,-10.74,-0.4919,0,0,0.004,1,0.193,0,22
10.03075,169171,0.283,1.531,1.44,-582,-0.931,782,0,0,0,1.01,-61,-61,-24,0,0.266,-13.91,-0.6623,0,0,0.004,1,0.197,0,22
10.04413,169191,0.296,1.581,2.21,-613,-0.981,798,0,0,0,1.78,-99,-99,-25,0,0.266,-13.91,-0.6623,0,0,0,1,0.197,20,22
10.09298,169231,0.391,1.69,3.54,-681,-1.09,780,0,0,0,1.36,-83,-83,-28,0,0.254,-14.18,-0.5357,0,0,0,1,0.214,18,22
10.1105,169251,0.449,1.733,3.61,-708,-1.133,768,0,0,0,0.87,-63,-63,-29,0,0.268,-10.22,-0.4069,0,0,0,1,0.212,19,22
10.12625,169271,0.515,1.779,4.17,-737,-1.179,747,0,0,0,0.32,-34,-34,-34,0,0.265,-11.24,-0.5191,0,0,0.017,1,0.211,19,22
10.14294,169291,0.57,1.811,3.4,-757,-1.211,741,0,0,0,0.73,-53,-53,-34,0,0.269,-10.03,-0.4136,0,0,0.043,1,0.222,18,22
10.20874,169331,0.691,1.848,1.65,-780,-1.248,726,0,0,0,-0.38,-8,-8,-36,0,0.27,-8.7,-0.3259,0,0,0.051,1,0.209,18,22
10.20908,169351,0.747,1.861,2.77,-788,-1.261,671,0,0,0,-1.01,24,24,-36,0,0.285,-5.93,-0.2407,0,0,0.009,1,0.216,17,22
10.22857,169371,0.819,1.87,4.17,-794,-1.27,608,0,0,0,0.8,-65,-65,-34,0,0.259,-14.82,-0.6473,0,0,0.017,1,0.22,17,22
10.24407,169391,0.82,1.872,-1.99,-795,-1.272,734,0,0,0,-1.78,64,64,-30,0,0.28,-9.38,-0.4209,0,0,0.137,1,0.193,19,22
10.28946,169431,0.909,1.867,0.81,-792,-1.267,619,0,0,0,-1.5,46,46,-29,0,0.263,-18.58,-0.9709,0,0,0.021,1,0.203,19,22
10.30678,169451,0.909,1.85,1.79,-781,-1.25,570,0,0,0,-1.43,44,44,-28,0,0.281,-9.62,-0.5156,0,0,0.021,1,0.196,0,22
10.32488,169471,0.917,1.84,1.3,-775,-1.24,584,0,0,0,-1.36,42,42,-28,0,0.281,-9.62,-0.5156,0,0,0.197,1,0.196,20,22
10.34211,169491,0.957,1.826,1.09,-766,-1.226,539,0,0,0,-1.22,38,38,-24,0,0.255,-20.05,-1,0,0,0.141,1,0.196,1,22
10.40448,169531,0.99,1.797,-1.08,-748,-1.197,544,0,0,0,-1.85,72,72,-20,0,0.273,-19.82,-1,0,0,-0.009,1,0.16,3,22
10.40959,169551,1.009,1.778,2.07,-736,-1.178,457,0,0,0,-0.24,-6,-6,-15,0,0.265,-21.98,-1,0,0,0,1,0.172,2,22
10.42438,169571,1.04,1.763,-0.1,-727,-1.163,475,0,0,0,0.18,-20,-20,-13,0,0.269,-21.74,-1,0,0,0.03,1,0.172,2,22
10.44691,169591,0.979,1.738,-6.04,-711,-1.138,638,0,0,0,-2.34,104,104,-9,0,0.275,-21.07,-1,0,0,0.192,1,0.173,2,22
10.4899,169631,1.034,1.693,6.2,-683,-1.093,317,0,0,0,-1.85,81,81,-9,0,0.279,-15.81,-1,0,0,0.064,1,0.168,3,22
10.50788,169651,0.98,1.661,2.21,-663,-1.061,402,0,0,0,-2.69,133,133,-8,0,0.307,-0.97,-0.1113,0,0,-0.017,1,0.135,5,22
10.52591,169671,0.954,1.632,3.05,-645,-1.032,371,0,0,0,-1.36,77,77,-5,0,0.284,-13.59,-0.954,0,0,0.013,1,0.134,5,22
10.54376,169691,0.987,1.614,1.02,-634,-1.014,387,0,0,0,-0.1,25,25,-1,0,0.281,-20.2,-1,0,0,0.026,1,0.115,6,22
10.60842,169731,1.112,1.56,5.08,-600,-0.96,208,0,0,0,-0.31,27,27,7,0,0.271,-15.55,-0.7967,0,0,0.15,1,0.157,4,22
10.60894,169751,1.04,1.541,5.01,-588,-0.941,240,0,0,0,-0.1,21,21,7,0,0.273,-18.91,-1,0,0,0.068,1,0.147,4,22
10.62495,169771,0.994,1.51,1.86,-569,-0.91,300,0,0,0,-2.41,136,136,7,0,0.294,-11.98,-1,0,0,-0.009,1,0.118,6,22
10.64391,169791,0.971,1.477,0.39,-548,-0.877,315,0,0,0,-1.85,113,113,9,0,0.28,-23.44,-1,0,0,-0.034,1,0.09,7,22
10.687,169831,1.02,1.421,-0.24,-513,-0.821,260,0,0,0,0.32,23,23,16,0,0.295,-4.57,0.3334,0,0,0.034,1,0.074,8,22
10.70692,169851,1.044,1.392,-0.94,-495,-0.792,244,0,0,0,0.59,13,13,17,0,0.279,-19.24,-1,0,0,0.004,1,0.099,7,22
10.72513,169871,1.046,1.362,-1.01,-476,-0.762,224,0,0,0,0.32,29,29,21,0,0.296,-11.28,-1,0,0,0.017,1,0.108,6,22
10.74211,169891,1.061,1.33,0.11,-456,-0.73,171,0,0,0,0.32,31,31,20,0,0.291,-10.77,-0.5236,0,0,0.03,1,0.117,6,22
10.80477,169931,1.082,1.262,-0.8,-414,-0.662,132,0,0,0,-1.29,95,95,18,0,0.269,-23.5,-1,0,0,0.03,1,0.138,4,22
10.80853,169951,1.08,1.246,-0.45,-404,-0.646,115,0,0,0,-1.29,90,90,13,0,0.281,-14.87,-0.9582,0,0,0.009,1,0.125,6,22
10.82858,169971,1.084,1.248,-0.03,-405,-0.648,109,0,0,0,-1.57,99,99,1,0,0.257,-31.57,-1,0,0,-0.03,1,0.112,7,22
10.84617,169991,1.083,1.246,0.11,-404,-0.646,97,0,0,0,0.25,10,10,-9,0,0.301,-0.33,0.72,0,0,-0.081,1,0.075,9,22
10.88732,170031,1.064,1.189,-0.52,-368,-0.589,90,0,0,0,0.25,25,25,14,0,0.283,-20.04,-1,0,0,-0.021,1,0.073,9,22
10.90943,170051,1.08,1.296,0.6,-435,-0.696,131,0,0,0,-0.38,58,58,22,0,0.287,-12.9,-0.9319,0,0,-0.009,1,0.095,8,22
